,User,User_statuses_count,user_followers,fav_count,User_location,Tweets
382,Debbie Tole (Debs),3552,258,1,"UK,Lancashire ","@nataliecarter99 @corgidelilah @nickcarter carries on doing the gigs in Europe,America,gonna be bloody bank loans l… https://t.co/0snWNOBFY1"
383,Billy Howell,59775,850,0,"Lincolnton, NC",Just give Miles Bridges the Bank of America building @Hornets
384,Izabel@belbel,69293,1877,0,Estados Unidos,"RT @govbrazil: BNDES, Brazil’s major development bank, invested around R$ 200 million in sustainable development in the last 10 years, prev…"
385,Austin,54783,1305,0,Charlotte NC,RT @TheBobbyClub: The first game back at Bank Of America Stadium for Cam next week. #KeepPounding https://t.co/LyhFxNbMv4
386,Mr.Carrington ✪,20224,357,4,"Los Angeles, CA",The first game back at Bank Of America Stadium for Cam next week. #KeepPounding https://t.co/LyhFxNbMv4
387,☀️Elder Zimriah🌹זקן זמריה🌑,5071,256,0,,RT @X__Anderson: I bet Bank of America really wants the Ripple lawsuit to be over.
388,AgMan,13307,318,0,In hot lava over a phone #,"@FrankLukacovic @TonyFratto A nephew, on his way to the west coast for vacation tried to cash a (very well covered)… https://t.co/pkWE7Zd5U1"
389, King in the North,55,3,0,,"RT @coingecko: #Bitcoin is now worth more than the three largest banks in United States combined.

J.P. Morgan: $494B
Bank of America: $366…"
390,Borges Paulo,13536,146,0,Boa Vista Roraima com orgulho,"RT @govbrazil: BNDES, Brazil’s major development bank, invested around R$ 200 million in sustainable development in the last 10 years, prev…"
391,45 milhões C.R.F,16118,3579,0,,"RT @govbrazil: BNDES, Brazil’s major development bank, invested around R$ 200 million in sustainable development in the last 10 years, prev…"
392,princess flex ॐ,17983,681,0,in the woods somewhere,RT @cococowboyjoe: sitting in this Bank of America parking lot just shirtless and waiting
393,Joe,892,60,8,"Sacramento, CA",sitting in this Bank of America parking lot just shirtless and waiting
394,Elenara Lobato 🇧🇷🇺🇸,81672,9177,0,"Porto Alegre, Brasil","RT @govbrazil: BNDES, Brazil’s major development bank, invested around R$ 200 million in sustainable development in the last 10 years, prev…"
395,Shelley at Buddy Bike,7643,1503,0,"FL, USA",Today was the day! I gave my Pitch presentation for the Bank of America Small Business Holiday Village in Miami. It… https://t.co/h2JjXZLWPs
396,Brandy Bray,47951,212,0,"Texas, USA","RT @USMarshalsHQ: One of America’s Most Wanted Fugitives Identified After 52 Years. Mystery solved of Ted Conrad, who pulled off one of the…"
397,Killapat,966,36,0,,@BankofAmerica Bank of America Sucks!!! And sold your personal information!!!
398,bBy,20722,1416,1,,@RhizomaticWar Bank of America???
399,Meka,135231,2924,0,Washington State,@blindbat84 Bank of america.
400,ZeroJabbs McGavin,55479,702,0,Az.,RT @KimberlyYeeAZ: I oppose Biden's Soviet-style bank regulator nominee. Biden wants Omarova in charge of our bank system who studied in Mo…
401,DreamKilla.sol,3716,3839,2,Sam’s Basement #Solana,@SOLTRAPPER305 @YouTube Bank of America account got 6 figures https://t.co/PISVcL6APP
402,"Alexander - BAD, AMADSS, DEcon",24079,954,0,reading: Corruption @ Wharton,RT @AIexander_DEcon: @RWMaloneMD It is all linked to the planned economic reforms backed by the IMF &amp; World Bank and given oxygen via the U…
403,"Alexander - BAD, AMADSS, DEcon",24079,954,14,reading: Corruption @ Wharton,@RWMaloneMD It is all linked to the planned economic reforms backed by the IMF &amp; World Bank and given oxygen via th… https://t.co/DacG90rlDj
